Data scrapping of Times Square Restaurants,neg,neu,pos,compound,sentiment_label
"150. The slice of pizza was delicious. So happy to see this place by my hotel, the Marriott Marquis. There were heaters outside by the tables",0.0,0.74,0.26,0.857,Very Positive
"151. A good slice of pie after 2 hrs walking the city. Friendly guys we're cooking and served it up. Hotel concierge recommended this place. I thought my pizza was delicious, thin style.",0.0,0.691,0.309,0.891,Very Positive
"152. Open late - was able to get a few slices after a late-night comedy show and they did not disappoint. Had a veggie slice, cheese slice, and bbq chicken slice. Fresh and hot!



153. Best pizza I've had in NYC. Always perfect. Great location in time square. Has small outdoor dinning area. Small place but quick service. Took a large crowd and everyone said best pizza they have had.",0.0,0.757,0.243,0.9487,Very Positive
154. We got to NYC and wanted a slice and we were not disappointed. Wait was not bad and pizza was delicious. Yummm that crispy bottom is SO good! They have some seats on the sidewalk.,0.0,0.702,0.298,0.9207,Very Positive
"155. Great variety of pizzas by slice or whole. Reasonably priced. Heated each slice. Ate here every night after shows. Staff very friendly, helpful and fast.",0.0,0.683,0.317,0.8927,Very Positive
"156. Very very good pizza! Don't judge a book by its cover! We came here based on location to our hotel and trip advisor reviews and it didn't disappoint! The pizza is brilliantly cooked and so tasty! Garlics knots as recommended are also amaZing!



157. Great for a quick slice in the Midtown/theatre district. My friends were visiting NYC for the first time and wanted authentic pizza, and this shop did not disappoint!",0.0,0.708,0.292,0.9775,Very Positive
158. Reaaaalllyyyyyyy a great spot for afternoon and late night munchies. Super friendly staff. We were welcomed and attended to the whole evening while we were there.,0.0,0.618,0.382,0.9274,Very Positive
"159. Pizza was great! Convenient location for us being in Theatre District. Prices are always more expensive in NY, so that was to be expected. First time we went there wasn't any seating, so we left and then ordered from hotel on a different day.",0.0,0.907,0.093,0.6588,Positive
"160. Forgot the name of this place and only just found it out. So good I'm doing a review 2 years late. Best pizza we've ever had, was perfect to end a busy day with a couple of beers
The Capital Grille
AmericanSteakhouseVegetarian Friendly
4.5
161.  Such a great food and atmosphere. We were a tad underdressed not realizing the dress code but they were still wonderful to us. Order the bacon appetizer it is to die for!!",0.061,0.739,0.2,0.8822,Very Positive
162. We had booked on Thanksgiving which is my wife's birthday.,0.0,1.0,0.0,0.0,Neutral
The first person we spoke seemed to be overwhelmed with the busy situation.,0.0,0.909,0.091,0.0516,Slightly Positive
We were left hanging about like a fast food establishment wondering what next.,0.0,0.815,0.185,0.3612,Slightly Positive
"The situation improved when we reached our table and had a helpful and informative waiter (Mark) a Californian gentleman.



163. Great restaurant! The ambiance was elegant and quiet...food was superb. It is pricey but we'll worth the price. Servers were attentive and quick to respond to customers.



164. After several years, I visited CG 42nd with my family. An excellent treat! Our favourite is the Mignon, with the potato mash and the spinach. Not cheap, but worth every dime ??",0.0,0.716,0.284,0.9737,Very Positive
165. Superb food and great staff Barry served us and he was the absolute professional. Advised us well and the food was unreal. Tender steak and great wine. Barry was unreal. Great stories and lovely guy. Hope we get him again.,0.0,0.574,0.426,0.9781,Very Positive
"166. Big restaurant. Booths for 2. Incredible ambiance. Dim lighting. Food was superb. Service was impeccable. Heron G was wonderful.



167. We have eaten in Capital Grills all over America and this probably our favourite venue. Whether it has been affected by the pandemic or just a bad night we were pretty let down by some aspects this time. Unfortunately the main issue was the attitude of a member of staff called Miles. His attitude was unfriendly, cold and rude. This really affected our evening and we left pretty annoyed.",0.16,0.698,0.142,0.0258,Neutral
168. Food was mediocre at best. Service was rushed & just plain rude. Inexcusable for any restaurant let alone such an expensive one. We will never come here again. Hotdogs from a street vendor would have been better.,0.113,0.726,0.161,0.4767,Slightly Positive
169. A top restaurant in NYC. Difficult to fault. Fantastic wine list coupled with a wonderful menu. The steaks are amazingly tender and the sides are all fantastic.,0.137,0.528,0.335,0.8176,Very Positive
170. Amazing food and great atmosphere. Professional service. Great place for business meetings in midtown.,0.0,0.5,0.5,0.9186,Very Positive
"171. We had dinner at CG on Christmas Eve. Billy was so knowledgeable, efficient, and friendly, that it made the entire experience a delight. It really set our trip off in the right direction. We returned for our last meal before leaving town. The food, service, and ambience were all top notch. If you have the chance to join the CG for dinner, don't miss the chance.",0.0,0.747,0.253,0.9487,Very Positive
172. We frequent Capitol Grille every time we travel and I have to say that this location by far is the worst. Went on two separate occasions and both times the steak was charred and tasteless. Tonight we came to the location on 42nd and it did not disappoint.,0.078,0.879,0.043,-0.4295,Slightly Negative
173. I love this place. Delicious food...incredible drinks...best gin and tonic ever and dessert that is hard to top.The service is exemplary and they set a standard that others might wish to emulate,0.036,0.692,0.272,0.8807,Very Positive
"174. I came in with my family for their famous Stoli Dolis and we were not disappointed! Service was A+ our server was wonderful, I believe his name was Jeremy.",0.0,0.799,0.201,0.7612,Very Positive
175. Very rushed by a server with a bad attitude. Food was excellent but felt like we were just a bit of a nuisance. Expect a better attitude for over 110 per head !!,0.06,0.671,0.269,0.8309,Very Positive
"176. We went with the four of us, everybody had an excellent meal. I ended up having the bone-in filet which happened to be the best tasting steak I have ever had :-) Service was excellent we had a great time !!",0.0,0.647,0.353,0.9617,Very Positive
"177. Great food been to three locations garden city, nyc and Vegas and by far the best burger I had steak is good to but the burger did the trick just a long wait make reservations",0.034,0.781,0.185,0.7003,Positive
"178. Very friendly waiters, soft music, dark furniture for a serious and formal atmosphere. Good wine. Wonderful meat (the Rib-eye had been my choice). Sides are generous and very well prepared.",0.031,0.544,0.425,0.9491,Very Positive
"179. Very, very good food and good service by NY standards! Hot, plentiful, genuine food. No fancy pants here which makes it perfect.",0.068,0.591,0.34,0.8669,Very Positive
